time,temperature,windspeed
2026-04-19T23:45,20.6,9.2
2026-04-19T23:45,20.6,9.2
2026-04-19T23:45,20.6,9.2
2026-04-20T00:00,20.4,9.3
2026-04-20T00:00,20.4,9.3
2026-04-20T00:15,20.1,10.8
2026-04-29T02:00,26.5,6.0
2026-04-29T02:30,26.7,9.4
2026-04-30T06:00,17.2,3.2
